date,city,price,state
1988-11-01,CA-San Diego,68.62,CA
1988-11-01,CA-San Francisco,61.31,CA
1988-11-01,CO-Denver,47.86,CO
1988-11-01,DC-Washington,84.68,DC
1988-11-01,FL-Miami,76.09,FL
1988-11-01,FL-Tampa,80.61,FL
1988-11-01,GA-Atlanta,,GA
1988-11-01,IL-Chicago,68.27,IL
1988-11-01,MA-Boston,75.01,MA
1988-11-01,MI-Detroit,,MI
1988-11-01,MN-Minneapolis,,MN
1988-11-01,NC-Charlotte,69.56,NC
1988-11-01,NV-Las Vegas,68.64,NV
1988-11-01,NY-New York,84.82,NY
1988-11-01,OH-Cleveland,60.88,OH
1988-11-01,OR-Portland,44.05,OR
1988-11-01,TX-Dallas,,TX
1988-11-01,WA-Seattle,,WA
1988-11-01,Composite-10,77.28,Composite
1988-11-01,Composite-20,,Composite
1988-11-01,National-US,73.07,National
1988-12-01,AZ-Phoenix,,AZ
1988-12-01,CA-Los Angeles,85.97,CA
1988-12-01,CA-San Diego,69.84,CA
1988-12-01,CA-San Francisco,62.2,CA
1988-12-01,CO-Denver,47.36,CO
1988-12-01,DC-Washington,85.74,DC
1988-12-01,FL-Miami,76.19,FL
1988-12-01,FL-Tampa,80.74,FL
1988-12-01,GA-Atlanta,,GA
1988-12-01,IL-Chicago,67.7,IL
1988-12-01,MA-Boston,74.79,MA
1988-12-01,MI-Detroit,,MI
1988-12-01,MN-Minneapolis,,MN
1988-12-01,NC-Charlotte,69.7,NC
1988-12-01,NV-Las Vegas,67.98,NV
1988-12-01,NY-New York,84.33,NY
1988-12-01,OH-Cleveland,61.06,OH
1988-12-01,OR-Portland,44.24,OR
1988-12-01,TX-Dallas,,TX
1988-12-01,WA-Seattle,,WA
1988-12-01,Composite-10,77.58,Composite
1988-12-01,Composite-20,,Composite
1988-12-01,National-US,73.29,National
1989-01-01,AZ-Phoenix,67.54,AZ
1989-01-01,CA-Los Angeles,87.3,CA
1989-01-01,CA-San Diego,70.96,CA
1989-01-01,CA-San Francisco,62.66,CA
1989-01-01,CO-Denver,47.23,CO
1989-01-01,DC-Washington,86.5,DC
1989-01-01,FL-Miami,76.59,FL
1989-01-01,FL-Tampa,80.41,FL
1989-01-01,GA-Atlanta,,GA
1989-01-01,IL-Chicago,67.46,IL
1989-01-01,MA-Boston,74.23,MA
1989-01-01,MI-Detroit,,MI
1989-01-01,MN-Minneapolis,63.13,MN
1989-01-01,NC-Charlotte,69.76,NC
1989-01-01,NV-Las Vegas,68.73,NV
1989-01-01,NY-New York,84.32,NY
1989-01-01,OH-Cleveland,61.41,OH
